,Plot,Precip,Core,Moisture
A,one,Control,Core,1.080700127
B,one,Control,Mesh,0.923943906
C,one,RO,Core,0.703268869
D,one,RO,Mesh,0.703658753
E,two,Control,Core,0.978355964
F,two,Control,Mesh,0.983529826
G,two,RO,Core,0.793217741
H,two,RO,Mesh,0.982583789
I,three,Control,Core,0.788256096
J,three,Control,Mesh,0.776665048
K,three,RO,Core,0.799908636
L,three,RO,Mesh,0.837533607
M,four,Control,Core,0.903556136
N,four,Control,Mesh,0.642285695
O,four,RO,Core,0.705032613
P,four,RO,Mesh,0.571301297
Q,five,Control,Core,0.794901118
R,five,Control,Mesh,0.809520139
S,five,RO,Core,0.76494259
T,five,RO,Mesh,0.575497571
U,six,Control,Core,0.737799203
V,six,Control,Mesh,0.617843911
W,six,RO,Core,0.626204605
X,six,RO,Mesh,0.565471925
